id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
216461,Comfortable room in Flamengo / RIO,1154263,"Zeilma , Da",,Flamengo,-22.9399,-43.17676,Private room,842,1,0,,,1,365,0,
216700,Ótimo quarto perto Cristo Redentor,1118486,Moara,,Laranjeiras,-22.94373,-43.19147,Private room,180,4,20,2013-09-23,0.18,2,364,0,
219250,Varandão Atelier Lounge Sta. Teresa,1134264,Ricardo,,Santa Teresa,-22.91666,-43.17947,Entire home/apt,171,2,357,2021-08-11,3.13,2,309,27,
220377,Hosts in Rio Master room (double),1142424,Taciana,,Tijuca,-22.9288,-43.24046,Private room,160,1,4,2012-03-07,0.03,2,364,0,
220705,Comfortable room in quiet street,1144461,Rachel,,Copacabana,-22.98246,-43.19376,Private room,300,3,0,,,2,218,0,
223073,❤️ MODERN LOFT IN BEST SPOT OF IPANEMA 1 - 120MB❤️,503995,❤️ BrUx ❤️,,Ipanema,-22.9828,-43.20467,Entire home/apt,196,1,402,2021-06-23,3.43,7,326,20,
230989,Nice Flat in Copacabana  Ocean View,1207700,Maria Luiza,,Copacabana,-22.97923,-43.18902,Entire home/apt,129,3,106,2020-11-17,0.87,4,344,5,
231105,"Suite 2 people, beach, events, fun",1208327,Christian,,Jacarepaguá,-22.969053,-43.388355,Entire home/apt,197,3,72,2017-04-26,0.73,4,69,17,
231497,Nice big studio in Copacabana,1207700,Maria Luiza,,Copacabana,-22.98238,-43.19215,Entire home/apt,154,3,57,2021-01-30,0.47,4,327,5,
231516,Apartment on Copacabana beach,1207700,Maria Luiza,,Copacabana,-22.97787,-43.18792,Entire home/apt,350,3,30,2014-07-02,0.26,4,239,0,
236991,PRAIA DE COPACABANA!!   1 BLOCK FROM THE BEACH,1241662,Nilda,,Copacabana,-22.96488,-43.17478,Entire home/apt,149,5,29,2020-09-27,0.32,2,34,12,
238802,EXCELLENT TWO BEDROOM APARTMENT IN COPACABANA,235496,Paola & Isak,,Copacabana,-22.96386,-43.17757,Entire home/apt,320,2,44,2021-09-18,0.36,4,286,3,
239531,Bedroom with seaview  surrounded with everything,792218,Levy,,Copacabana,-22.96434,-43.17563,Entire home/apt,168,2,89,2021-10-17,0.75,10,315,5,
242214,APT IN BOTAFOGO INFRONT OF THE BEAC,530471,Hugo,,Botafogo,-22.94985,-43.18104,Entire home/apt,200,1,0,,,3,354,0,
245341,Priviledge location in Rio,1286915,Luciane,,Glória,-22.92072,-43.17953,Entire home/apt,414,3,6,2014-08-29,0.07,1,364,0,
245951,Luxury Apartment in Copacabana,1289982,Carnaval Turismo,,Copacabana,-22.96704,-43.18201,Entire home/apt,230,3,13,2019-03-08,0.11,1,360,0,
247052,Christ the Redeemer View,1295841,Osmar,,Botafogo,-22.95665,-43.18481,Entire home/apt,362,5,0,,,1,114,0,
247779,Cozy Apartment in Ipanema!,1298591,Karina,,Copacabana,-22.9851,-43.1932,Entire home/apt,151,2,131,2020-01-08,1.28,1,117,5,
248756,Copacabana 1 block away from beach,804664,Bernardo,,Copacabana,-22.98029,-43.19054,Entire home/apt,367,3,126,2021-01-10,1.18,1,103,5,
249323,"Designer beachfront apt, safe loc",1306210,Raphael,,Copacabana,-22.976,-43.18838,Entire home/apt,702,1,84,2021-09-05,0.71,1,326,4,
249616,Flat at Barra Near by WINDSOR HOTEL,1307761,Malí,,Barra da Tijuca,-23.01097,-43.32266,Entire home/apt,195,3,220,2017-11-11,2.08,2,0,0,
249842,"Central, perto da praia e possibilidade de garagem",1309444,Sonia,,Copacabana,-22.96794,-43.18969,Private room,99,2,129,2017-08-23,1.10,3,44,3,
251701,LEBLON BEACHFRONT VILLA APT.2,1319991,Jake,,Vidigal,-22.99037,-43.23115,Entire home/apt,556,7,27,2015-02-07,0.31,10,365,0,
251868,Great & comfy studio Copa!,1321287,Helena,,Copacabana,-22.9792,-43.1901,Entire home/apt,120,4,83,2017-02-20,0.70,2,103,1,
256323,Garden Studio - Home away from Home,1348172,Jennifer,,Santa Teresa,-22.91742,-43.1833,Entire home/apt,169,3,191,2021-03-08,1.68,1,109,11,
262466,APTO BOTAFOGO - BEM LOCALIZADO,1377161,Ana Cristina,,Botafogo,-22.95508,-43.18251,Entire home/apt,250,1,3,2014-06-27,0.04,1,182,0,
264816,Duplex in BARRA  w/private terrace,259815,Valerie & Alex,,Barra da Tijuca,-23.00291,-43.39086,Entire home/apt,274,14,36,2021-01-01,0.44,2,49,6,
265072,New Apartment near Copacabana Beach,829630,Luciana,,Copacabana,-22.96554,-43.17655,Entire home/apt,135,1,79,2021-09-12,0.74,3,62,15,
271975,Unbelievable Ocean View Apartment,1423140,Maria,,Vidigal,-22.99508,-43.23604,Entire home/apt,236,1,8,2019-10-05,0.08,1,284,0,
